Channel|Center|Kode|Item|Category |Group|Size|Satuan|Type|Month|Forecast Branch|Forecast Machine (Branch)|Forecast Headquarter (Branch+HO)|"Forecast Machine Headquarter (Branch+HO)
"|Avg Gross Weight (kg/unit)|Avg Volume (m³/unit)
AD|DC PARUNG|018|Aren|LOCAL|ROUND|72X50 GR|PAC|Oaka|APR 2026|4|4|12|4|5.00|2,000.000
AD|DC PARUNG|019|Garam|LOCAL|ROUND|72X50 GR|PAC|Oaka|APR 2026|5|5|13|5|5.00|2,000.000
AD|DC PARUNG|020|Kemiri|LOCAL|ROUND|72X50 GR|KG|Oaka|APR 2026|0|377|1,842|0|0.50|1,000.000
AD|DC PARUNG|021|Merica|LOCAL|ROUND|72X50 GR|KG|Oaka|APR 2026|2,913|2,913|2,921|2,913|0.30|1,000.000
AD|DC PARUNG|022|Lada|LOCAL|ROUND|72X50 GR|KG|Oaka|APR 2026|0|122|130|0|0.30|1,000.000
AD|DC PARUNG|023|Mie|LOCAL|ROUND|72X50 GR|KG|Oaka|APR 2026|0|213|221|0|0.80|3,800.000
AD|DC PARUNG|024|Beras|LOCAL|ROUND|72X50 GR|KG|Oaka|APR 2026|330|330|338|330|5.00|800.000
AD|DC PARUNG|025|Sirup|LOCAL|ROUND|72X50 GR|KG|Oaka|APR 2026|419|419|427|419|5.20|1,200.000
AD|DC PARUNG|026|Moka|LOCAL|RICE|72X50 GR|KG|Looked|APR 2026|7|7|15|7|0.50|1,200.000
AD|DC PARUNG|027|Minyak|LOCAL|RICE|72X50 GR|KG|Looked|APR 2026|14|14|22|14|5.00|2,200.000
AD|DC PARUNG|028|Sabun Colek|LOCAL|RICE|72X50 GR|KG|Looked|APR 2026|1,119|1,119|1,127|1,119|5.00|1,900.000
AD|DC PARUNG|029|Sabun Mandi|LOCAL|RICE|72X50 GR|KG|Looked|APR 2026|11|11|19|11|0.50|800.000
AD|DC PARUNG|030|Sampo|LOCAL|RICE|72X50 GR|KG|Looked|APR 2026|7|7|15|2|0.40|800.000
AD|DC PARUNG|031|Wijen|LOCAL|RICE|72X50 GR|KG|Looked|APR 2026|0|0|8|0|0.50|1,000.000
AD|DC PARUNG|032|Rimpang|LOCAL|RICE|72X50 GR|KG|Looked|APR 2026|14|14|22|10|5.00|1,000.000
AD|DC PARUNG|033|Dodol|LOCAL|WATER|72X50 GR|KG|Blue|APR 2026|1|1|9|1|0.80|2,600.000
AD|DC PARUNG|034|Uli|LOCAL|WATER|72X50 GR|KG|Blue|APR 2026|0|93|101|0|0.80|2,600.000
AD|DC PARUNG|035|Singkong|LOCAL|WATER|72X50 GR|KG|Blue|APR 2026|202|202|210|156|2.00|2,100.000
AD|DC PARUNG|037|Ubi|LOCAL|WATER|72X50 GR|KG|Blue|APR 2026|429|429|437|429|2.00|2,100.000
AD|DC PARUNG|038|Terong|LOCAL|WATER|72X50 GR|KG|Blue|APR 2026|2|2|10|2|5.20|2,500.000
AD|DC PARUNG|040|Kacang|LOCAL|WATER|72X50 GR|KG|Blue|APR 2026|0|0|8|0|5.00|2,100.000
AD|DC PARUNG|041|Toge|LOCAL|WATER|72X50 GR|KG|Blue|APR 2026|3|3|11|3|5.00|1,000.000
AD|DC PARUNG|042|Tomat|LOCAL|WATER|72X50 GR|KG|Blue|APR 2026|1|1|9|1|5.20|1,000.000
AD|DC PARUNG|044|Bombay|LOCAL|WATER|72X50 GR|KG|Blue|APR 2026|2|2|10|2|5.50|1,000.000
AD|DC PARUNG|001|Cabe|LOCAL|LIGHT|72X50 GR|KG|Cucumber|APR 2026|24|24|32|24|5.00|2,000.000
AD|DC PARUNG|004|Terong|LOCAL|LIGHT|72X50 GR|KG|Cucumber|APR 2026|0|0|8|0|5.20|2,500.000
AD|DC PARUNG|008|Kentang|LOCAL|LIGHT|72X50 GR|KG|Cucumber|APR 2026|0|0|8|0|2.00|3,378.000
AD|DC PARUNG|009|Daging|LOCAL|LIGHT|72X50 GR|KG|Cucumber|APR 2026|162|162|170|162|2.50|6,600.000
AD|DC PARUNG|010|Ikan |LOCAL|LIGHT|72X50 GR|KG|Cucumber|APR 2026|0|0|8|0|8.50|3,500.000
AD|DC PARUNG|011|Bawang|LOCAL|LIGHT|72X50 GR|KG|Cucumber|APR 2026|0|0|8|0|5.50|2,000.000
AD|DC PARUNG|012|Kopi|LOCAL|LIGHT|72X50 GR|KG|Cucumber|APR 2026|0|0|8|0|0.50|1,500.000
AD|DC PARUNG|013|Susu|LOCAL|ROUND|72X50 GR|KG|Oaka|APR 2026|0|0|8|0|5.00|1,500.000
AD|DC PARUNG|014|Jahe|LOCAL|ROUND|72X50 GR|KG|Oaka|APR 2026|0|0|8|0|5.00|2,000.000
AD|DC PARUNG|015|Kunyit|LOCAL|ROUND|72X50 GR|KG|Oaka|APR 2026|0|0|8|0|5.00|2,000.000
AD|DC PARUNG|016|Asam|LOCAL|ROUND|72X50 GR|CAR|Oaka|APR 2026|42|42|50|42|0.50|2,000.000
AD|DC PARUNG|017|Gula|LOCAL|ROUND|72X50 GR|CAR|Oaka|APR 2026|0|9|17|0|5.00|2,000.000
AD|DC PARUNG|018|Aren|LOCAL|ROUND|72X50 GR|CAR|Oaka|APR 2026|0|89|97|0|5.00|2,000.000
AD|DC PARUNG|019|Garam|LOCAL|ROUND|72X50 GR|CAR|Oaka|APR 2026|175|175|183|175|5.00|2,000.000
AD|DC PARUNG|020|Kemiri|LOCAL|ROUND|72X50 GR|CAR|Oaka|APR 2026|243|243|251|243|0.50|1,000.000
AD|DC PARUNG|021|Merica|LOCAL|ROUND|72X50 GR|KG|Oaka|APR 2026|0|0|8|0|0.30|1,000.000
AD|DC PARUNG|022|Lada|LOCAL|ROUND|72X50 GR|KG|Oaka|APR 2026|2|2|10|1|0.30|1,000.000
AD|DC PARUNG|023|Mie|LOCAL|ROUND|72X50 GR|KG|Oaka|APR 2026|0|0|8|0|0.80|3,800.000
AD|DC PARUNG|024|Beras|LOCAL|ROUND|72X50 GR|KG|Oaka|APR 2026|0|0|8|0|5.00|800.000
AD|DC PARUNG|025|Sirup|LOCAL|ROUND|72X50 GR|KG|Oaka|APR 2026|0|0|8|0|5.20|1,200.000
AD|DC PARUNG|026|Moka|LOCAL|RICE|72X50 GR|KG|Looked|APR 2026|0|0|8|0|0.50|1,200.000
AD|DC PARUNG|027|Minyak|LOCAL|RICE|72X50 GR|KG|Looked|APR 2026|1|1|9|1|5.00|2,200.000
AD|DC PARUNG|028|Sabun Colek|LOCAL|RICE|72X50 GR|KG|Looked|APR 2026|1|1|9|1|5.00|1,900.000
AD|DC PARUNG|029|Sabun Mandi|LOCAL|RICE|72X50 GR|KG|Looked|APR 2026|0|0|8|0|0.50|800.000
AD|DC PARUNG|030|Sampo|LOCAL|RICE|72X50 GR|KG|Looked|APR 2026|0|0|8|0|0.40|800.000
AD|DC PARUNG|031|Wijen|LOCAL|RICE|72X50 GR|KG|Looked|APR 2026|180|180|188|180|0.50|1,000.000
AD|DC PARUNG|032|Rimpang|LOCAL|RICE|72X50 GR|KG|Looked|APR 2026|25|25|33|25|5.00|1,000.000
AD|DC PARUNG|033|Dodol|LOCAL|WATER|72X50 GR|KG|Blue|APR 2026|214|214|222|214|0.80|2,600.000
AD|DC PARUNG|034|Uli|LOCAL|WATER|72X50 GR|KG|Blue|APR 2026|567|567|575|567|0.80|2,600.000
AD|DC PARUNG|035|Singkong|LOCAL|WATER|72X50 GR|KG|Blue|APR 2026|13|13|21|13|2.00|2,100.000
AD|DC PARUNG|037|Ubi|LOCAL|WATER|72X50 GR|KG|Blue|APR 2026|123|123|131|123|2.00|2,100.000
AD|DC PARUNG|038|Terong|LOCAL|WATER|72X50 GR|KG|Blue|APR 2026|0|0|8|0|5.20|2,500.000
AD|DC PARUNG|040|Kacang|LOCAL|WATER|72X50 GR|KG|Blue|APR 2026|0|0|8|0|5.00|2,100.000
AD|DC PARUNG|041|Toge|LOCAL|WATER|72X50 GR|KG|Blue|APR 2026|0|8|16|0|5.00|1,000.000
AD|DC PARUNG|042|Tomat|LOCAL|WATER|72X50 GR|KG|Blue|APR 2026|1|1|9|1|5.20|1,000.000
AD|DC PARUNG|044|Bombay|LOCAL|WATER|72X50 GR|KG|Blue|APR 2026|0|0|8|0|5.50|1,000.000
AD|DC PARUNG|001|Cabe|LOCAL|LIGHT|72X50 GR|KG|Cucumber|APR 2026|0|0|8|0|5.00|2,000.000
AD|DC PARUNG|004|Terong|LOCAL|LIGHT|72X50 GR|KG|Cucumber|APR 2026|159|159|167|159|5.20|2,500.000
AD|DC PARUNG|008|Kentang|LOCAL|LIGHT|72X50 GR|KG|Cucumber|APR 2026|10|10|18|10|2.00|3,378.000
AD|DC PARUNG|009|Daging|LOCAL|LIGHT|72X50 GR|CAR|Cucumber|APR 2026|0|0|8|0|2.50|6,600.000
AD|DC PARUNG|010|Ikan |LOCAL|LIGHT|72X50 GR|KG|Cucumber|APR 2026|0|0|8|0|8.50|3,500.000
AD|DC PARUNG|011|Bawang|LOCAL|LIGHT|72X50 GR|KG|Cucumber|APR 2026|0|1,027|1,035|0|5.50|2,000.000
AD|DC PARUNG|012|Kopi|LOCAL|LIGHT|72X50 GR|KG|Cucumber|APR 2026|0|109|117|0|0.50|1,500.000
AD|DC PARUNG|013|Susu|LOCAL|ROUND|72X50 GR|KG|Oaka|APR 2026|33|33|41|33|5.00|1,500.000
AD|DC PARUNG|014|Jahe|LOCAL|ROUND|72X50 GR|KG|Oaka|APR 2026|6|6|14|4|5.00|2,000.000
AD|DC PARUNG|015|Kunyit|LOCAL|ROUND|72X50 GR|KG|Oaka|APR 2026|1|1|9|1|5.00|2,000.000
AD|DC PARUNG|016|Asam|LOCAL|ROUND|72X50 GR|KG|Oaka|APR 2026|214|214|222|46|0.50|2,000.000
AD|DC PARUNG|017|Gula|LOCAL|ROUND|72X50 GR|KG|Oaka|APR 2026|0|23|31|0|5.00|2,000.000
AD|DC PARUNG|018|Aren|LOCAL|ROUND|72X50 GR|KG|Oaka|APR 2026|149|149|157|70|5.00|2,000.000
AD|DC PARUNG|019|Garam|LOCAL|ROUND|72X50 GR|KG|Oaka|APR 2026|0|11|19|0|5.00|2,000.000
AD|DC PARUNG|020|Kemiri|LOCAL|ROUND|72X50 GR|KG|Oaka|APR 2026|14|14|22|14|0.50|1,000.000
AD|DC PARUNG|021|Merica|LOCAL|ROUND|72X50 GR|KG|Oaka|APR 2026|0|0|8|0|0.30|1,000.000
AD|DC PARUNG|022|Lada|LOCAL|ROUND|72X50 GR|KG|Oaka|APR 2026|7|7|15|2|0.30|1,000.000
AD|DC PARUNG|023|Mie|LOCAL|ROUND|72X50 GR|KG|Oaka|APR 2026|1|1|9|1|0.80|3,800.000
AD|DC PARUNG|024|Beras|LOCAL|ROUND|72X50 GR|KG|Oaka|APR 2026|6|6|14|6|5.00|800.000
AD|DC PARUNG|025|Sirup|LOCAL|ROUND|72X50 GR|KG|Oaka|APR 2026|0|4|12|0|5.20|1,200.000
AD|DC PARUNG|026|Moka|LOCAL|RICE|72X50 GR|KG|Looked|APR 2026|1|1|9|1|0.50|1,200.000
AD|DC PARUNG|027|Minyak|LOCAL|RICE|72X50 GR|KG|Looked|APR 2026|0|0|8|0|5.00|2,200.000
AD|DC PARUNG|028|Sabun Colek|LOCAL|RICE|72X50 GR|KG|Looked|APR 2026|0|0|8|0|5.00|1,900.000
AD|DC PARUNG|029|Sabun Mandi|LOCAL|RICE|72X50 GR|KG|Looked|APR 2026|0|0|8|0|0.50|800.000
AD|DC PARUNG|030|Sampo|LOCAL|RICE|72X50 GR|KG|Looked|APR 2026|0|0|8|0|0.40|800.000
AD|DC PARUNG|031|Wijen|LOCAL|RICE|72X50 GR|KG|Looked|APR 2026|1|1|9|1|0.50|1,000.000
AD|DC PARUNG|032|Rimpang|LOCAL|RICE|72X50 GR|KG|Looked|APR 2026|0|1,198|1,206|0|5.00|1,000.000
AD|DC PARUNG|033|Dodol|LOCAL|WATER|72X50 GR|KG|Blue|APR 2026|140|140|148|140|0.80|2,600.000
AD|DC PARUNG|034|Uli|LOCAL|WATER|72X50 GR|KG|Blue|APR 2026|46|46|54|46|0.80|2,600.000
AD|DC PARUNG|035|Singkong|LOCAL|WATER|72X50 GR|KG|Blue|APR 2026|1,006|1,006|1,014|1,006|2.00|2,100.000
AD|DC PARUNG|037|Ubi|LOCAL|WATER|72X50 GR|KG|Blue|APR 2026|1|1|9|1|2.00|2,100.000
AD|DC PARUNG|038|Terong|LOCAL|WATER|72X50 GR|KG|Blue|APR 2026|512|512|520|512|5.20|2,500.000
AD|DC PARUNG|040|Kacang|LOCAL|WATER|72X50 GR|KG|Blue|APR 2026|2|2|10|1|5.00|2,100.000
AD|DC PARUNG|041|Toge|LOCAL|WATER|72X50 GR|KG|Blue|APR 2026|0|0|8|0|5.00|1,000.000
AD|DC PARUNG|042|Tomat|LOCAL|WATER|72X50 GR|KG|Blue|APR 2026|0|0|8|0|5.20|1,000.000
AD|DC PARUNG|044|Bombay|LOCAL|WATER|72X50 GR|KG|Blue|APR 2026|0|0|8|0|5.50|1,000.000
AD|DC PARUNG|001|Cabe|LOCAL|LIGHT|72X50 GR|KG|Cucumber|APR 2026|1|1|9|1|5.00|2,000.000
AD|DC PARUNG|004|Terong|LOCAL|LIGHT|72X50 GR|KG|Cucumber|APR 2026|0|89|97|0|5.20|2,500.000
AD|DC PARUNG|008|Kentang|LOCAL|LIGHT|72X50 GR|KG|Cucumber|APR 2026|0|0|8|0|2.00|3,378.000
AD|DC PARUNG|009|Daging|LOCAL|LIGHT|72X50 GR|KG|Cucumber|APR 2026|430|430|438|305|2.50|6,600.000
AD|DC PARUNG|010|Ikan |LOCAL|LIGHT|72X50 GR|KG|Cucumber|APR 2026|1|1|9|1|8.50|3,500.000
AD|DC PARUNG|011|Bawang|LOCAL|LIGHT|72X50 GR|KG|Cucumber|APR 2026|0|161|169|0|5.50|2,000.000
AD|DC PARUNG|012|Kopi|LOCAL|LIGHT|72X50 GR|KG|Cucumber|APR 2026|0|422|430|0|0.50|1,500.000
AD|DC PARUNG|013|Susu|LOCAL|ROUND|72X50 GR|KG|Oaka|APR 2026|1|1|9|1|5.00|1,500.000
AD|DC PARUNG|014|Jahe|LOCAL|ROUND|72X50 GR|KG|Oaka|APR 2026|0|0|8|0|5.00|2,000.000
AD|DC PARUNG|015|Kunyit|LOCAL|ROUND|72X50 GR|KG|Oaka|APR 2026|21|21|29|21|5.00|2,000.000
AD|DC PARUNG|016|Asam|LOCAL|ROUND|72X50 GR|KG|Oaka|APR 2026|42|42|50|42|0.50|2,000.000
AD|DC PARUNG|017|Gula|LOCAL|ROUND|72X50 GR|KG|Oaka|APR 2026|0|0|8|0|5.00|2,000.000
AD|DC PARUNG|018|Aren|LOCAL|ROUND|72X50 GR|KG|Oaka|APR 2026|0|0|8|0|5.00|2,000.000
AD|DC PARUNG|019|Garam|LOCAL|ROUND|72X50 GR|KG|Oaka|APR 2026|0|0|8|0|5.00|2,000.000
AD|DC PARUNG|020|Kemiri|LOCAL|ROUND|72X50 GR|KG|Oaka|APR 2026|0|0|8|0|0.50|1,000.000
AD|DC PARUNG|021|Merica|LOCAL|ROUND|72X50 GR|KG|Oaka|APR 2026|0|0|8|0|0.30|1,000.000
AD|DC PARUNG|022|Lada|LOCAL|ROUND|72X50 GR|KG|Oaka|APR 2026|0|0|8|0|0.30|1,000.000
AD|DC PARUNG|023|Mie|LOCAL|ROUND|72X50 GR|KG|Oaka|APR 2026|0|0|8|0|0.80|3,800.000
AD|DC PARUNG|024|Beras|LOCAL|ROUND|72X50 GR|KG|Oaka|APR 2026|0|4,501|4,509|0|5.00|800.000
AD|DC PARUNG|025|Sirup|LOCAL|ROUND|72X50 GR|PAC|Oaka|APR 2026|9,488|9,488|9,496|9,488|5.20|1,200.000
AD|DC PARUNG|026|Moka|LOCAL|RICE|72X50 GR|CAN|Looked|APR 2026|0|0|8|0|0.50|1,200.000
AD|DC PARUNG|027|Minyak|LOCAL|RICE|72X50 GR|CAN|Looked|APR 2026|1|1|9|1|5.00|2,200.000
AD|DC PARUNG|028|Sabun Colek|LOCAL|RICE|72X50 GR|PAC|Looked|APR 2026|11,215|11,215|11,223|11,215|5.00|1,900.000
AD|DC PARUNG|029|Sabun Mandi|LOCAL|RICE|72X50 GR|KG|Looked|APR 2026|0|0|8|0|0.50|800.000
AD|DC PARUNG|030|Sampo|LOCAL|RICE|72X50 GR|KG|Looked|APR 2026|0|0|8|0|0.40|800.000
AD|DC PARUNG|031|Wijen|LOCAL|RICE|72X50 GR|KG|Looked|APR 2026|0|0|8|0|0.50|1,000.000
AD|DC PARUNG|032|Rimpang|LOCAL|RICE|72X50 GR|KG|Looked|APR 2026|0|0|8|0|5.00|1,000.000
AD|DC PARUNG|033|Dodol|LOCAL|WATER|72X50 GR|KG|Blue|APR 2026|0|0|8|0|0.80|2,600.000
AD|DC PARUNG|034|Uli|LOCAL|WATER|72X50 GR|KG|Blue|APR 2026|0|0|8|0|0.80|2,600.000
AD|DC PARUNG|035|Singkong|LOCAL|WATER|72X50 GR|KG|Blue|APR 2026|0|0|8|0|2.00|2,100.000
AD|DC PARUNG|037|Ubi|LOCAL|WATER|72X50 GR|KG|Blue|APR 2026|0|0|8|0|2.00|2,100.000
AD|DC PARUNG|038|Terong|LOCAL|WATER|72X50 GR|KG|Blue|APR 2026|0|0|8|0|5.20|2,500.000
AD|DC PARUNG|040|Kacang|LOCAL|WATER|72X50 GR|KG|Blue|APR 2026|73|73|81|73|5.00|2,100.000
AD|DC PARUNG|041|Toge|LOCAL|WATER|72X50 GR|KG|Blue|APR 2026|1|1|9|1|5.00|1,000.000
AD|DC PARUNG|042|Tomat|LOCAL|WATER|72X50 GR|KG|Blue|APR 2026|5|5|13|5|5.20|1,000.000
AD|DC PARUNG|044|Bombay|LOCAL|WATER|72X50 GR|KG|Blue|APR 2026|1|1|9|1|5.50|1,000.000
AD|DC PARUNG|001|Cabe|LOCAL|LIGHT|72X50 GR|KG|Cucumber|APR 2026|1|1|9|1|5.00|2,000.000
AD|DC PARUNG|004|Terong|LOCAL|LIGHT|72X50 GR|KG|Cucumber|APR 2026|0|18|26|0|5.20|2,500.000
AD|DC PARUNG|008|Kentang|LOCAL|LIGHT|72X50 GR|KG|Cucumber|APR 2026|1|1|9|1|2.00|3,378.000
AD|DC PARUNG|009|Daging|LOCAL|LIGHT|72X50 GR|KG|Cucumber|APR 2026|3|3|11|2|2.50|6,600.000
AD|DC PARUNG|010|Ikan |LOCAL|LIGHT|72X50 GR|KG|Cucumber|APR 2026|1|1|9|1|8.50|3,500.000
AD|DC PARUNG|011|Bawang|LOCAL|LIGHT|72X50 GR|KG|Cucumber|APR 2026|1|1|9|1|5.50|2,000.000
AD|DC PARUNG|012|Kopi|LOCAL|LIGHT|72X50 GR|KG|Cucumber|APR 2026|1|1|9|1|0.50|1,500.000
AD|DC PARUNG|013|Susu|LOCAL|ROUND|72X50 GR|KG|Oaka|APR 2026|1|1|9|1|5.00|1,500.000
AD|DC PARUNG|014|Jahe|LOCAL|ROUND|72X50 GR|KG|Oaka|APR 2026|0|0|8|0|5.00|2,000.000
AD|DC PARUNG|015|Kunyit|LOCAL|ROUND|72X50 GR|KG|Oaka|APR 2026|0|21|29|0|5.00|2,000.000
AD|DC PARUNG|016|Asam|LOCAL|ROUND|72X50 GR|KG|Oaka|APR 2026|1|1|9|1|0.50|2,000.000
AD|DC PARUNG|017|Gula|LOCAL|ROUND|72X50 GR|KG|Oaka|APR 2026|1|1|9|1|5.00|2,000.000
AD|DC PARUNG|018|Aren|LOCAL|ROUND|72X50 GR|KG|Oaka|APR 2026|0|0|8|0|5.00|2,000.000
AD|DC PARUNG|019|Garam|LOCAL|ROUND|72X50 GR|KG|Oaka|APR 2026|3|3|11|3|5.00|2,000.000
AD|DC PARUNG|020|Kemiri|LOCAL|ROUND|72X50 GR|KG|Oaka|APR 2026|0|0|8|0|0.50|1,000.000
AD|DC PARUNG|021|Merica|LOCAL|ROUND|72X50 GR|KG|Oaka|APR 2026|0|0|8|0|0.30|1,000.000
AD|DC PARUNG|022|Lada|LOCAL|ROUND|72X50 GR|PAC|Oaka|APR 2026|98|98|106|98|0.30|1,000.000
AD|DC PARUNG|023|Mie|LOCAL|ROUND|72X50 GR|PAC|Oaka|APR 2026|4|4|12|4|0.80|3,800.000
AD|DC PARUNG|024|Beras|LOCAL|ROUND|72X50 GR|PAC|Oaka|APR 2026|164|164|172|164|5.00|800.000
AD|DC PARUNG|025|Sirup|LOCAL|ROUND|72X50 GR|PAC|Oaka|APR 2026|19|19|27|13|5.20|1,200.000
AD|DC PARUNG|026|Moka|LOCAL|RICE|72X50 GR|PAC|Looked|APR 2026|51|51|59|51|0.50|1,200.000
AD|DC PARUNG|027|Minyak|LOCAL|RICE|72X50 GR|PAC|Looked|APR 2026|0|0|8|0|5.00|2,200.000
AD|DC PARUNG|028|Sabun Colek|LOCAL|RICE|72X50 GR|PAC|Looked|APR 2026|0|0|8|0|5.00|1,900.000
AD|DC PARUNG|029|Sabun Mandi|LOCAL|RICE|72X50 GR|PAC|Looked|APR 2026|98|98|106|98|0.50|800.000
AD|DC PARUNG|030|Sampo|LOCAL|RICE|72X50 GR|PAC|Looked|APR 2026|1|1|9|1|0.40|800.000
AD|DC PARUNG|031|Wijen|LOCAL|RICE|72X50 GR|PAC|Looked|APR 2026|0|1|11|0|0.50|1,000.000
AD|DC PARUNG|032|Rimpang|LOCAL|RICE|72X50 GR|PAC|Looked|APR 2026|2|2|10|2|5.00|1,000.000
AD|DC PARUNG|033|Dodol|LOCAL|WATER|72X50 GR|PAC|Blue|APR 2026|13,681|13,681|13,689|13,681|0.80|2,600.000
AD|DC PARUNG|034|Uli|LOCAL|WATER|72X50 GR|PAC|Blue|APR 2026|1,249|1,249|1,257|1,249|0.80|2,600.000
AD|DC PARUNG|035|Singkong|LOCAL|WATER|72X50 GR|PAC|Blue|APR 2026|0|0|8|0|2.00|2,100.000
AD|DC PARUNG|037|Ubi|LOCAL|WATER|72X50 GR|PAC|Blue|APR 2026|643|643|651|643|2.00|2,100.000
AD|DC PARUNG|038|Terong|LOCAL|WATER|72X50 GR|PAC|Blue|APR 2026|607|607|615|607|5.20|2,500.000
AD|DC PARUNG|040|Kacang|LOCAL|WATER|72X50 GR|PAC|Blue|APR 2026|4|4|12|4|5.00|2,100.000
AD|DC PARUNG|041|Toge|LOCAL|WATER|72X50 GR|PAC|Blue|APR 2026|0|6|14|0|5.00|1,000.000
AD|DC PARUNG|042|Tomat|LOCAL|WATER|72X50 GR|PAC|Blue|APR 2026|0|0|8|0|5.20|1,000.000
AD|DC PARUNG|044|Bombay|LOCAL|WATER|72X50 GR|CAR|Blue|APR 2026|0|2|10|0|5.50|1,000.000
AD|DC PARUNG|001|Cabe|LOCAL|LIGHT|72X50 GR|KG|Cucumber|APR 2026|0|0|8|0|5.00|2,000.000
AD|DC PARUNG|004|Terong|LOCAL|LIGHT|72X50 GR|KG|Cucumber|APR 2026|3|3|11|1|5.20|2,500.000
AD|DC PARUNG|008|Kentang|LOCAL|LIGHT|72X50 GR|KG|Cucumber|APR 2026|0|0|8|0|2.00|3,378.000
AD|DC PARUNG|009|Daging|LOCAL|LIGHT|72X50 GR|KG|Cucumber|APR 2026|192|192|200|192|2.50|6,600.000
AD|DC PARUNG|010|Ikan |LOCAL|LIGHT|72X50 GR|KG|Cucumber|APR 2026|21|21|29|21|8.50|3,500.000
AD|DC PARUNG|011|Bawang|LOCAL|LIGHT|72X50 GR|KG|Cucumber|APR 2026|0|0|8|0|5.50|2,000.000
AD|DC PARUNG|012|Kopi|LOCAL|LIGHT|72X50 GR|KG|Cucumber|APR 2026|0|0|8|0|0.50|1,500.000
AD|DC PARUNG|013|Susu|LOCAL|ROUND|72X50 GR|KG|Oaka|APR 2026|1|1|9|1|5.00|1,500.000
AD|DC PARUNG|014|Jahe|LOCAL|ROUND|72X50 GR|KG|Oaka|APR 2026|0|0|8|0|5.00|2,000.000
AD|DC PARUNG|015|Kunyit|LOCAL|ROUND|72X50 GR|KG|Oaka|APR 2026|189|189|197|189|5.00|2,000.000
AD|DC PARUNG|016|Asam|LOCAL|ROUND|72X50 GR|KG|Oaka|APR 2026|0|0|8|0|0.50|2,000.000
AD|DC PARUNG|017|Gula|LOCAL|ROUND|72X50 GR|KG|Oaka|APR 2026|0|394|402|0|5.00|2,000.000
AD|DC PARUNG|018|Aren|LOCAL|ROUND|72X50 GR|KG|Oaka|APR 2026|0|158|166|0|5.00|2,000.000
AD|DC PARUNG|019|Garam|LOCAL|ROUND|72X50 GR|KG|Oaka|APR 2026|52|52|60|14|5.00|2,000.000
AD|DC PARUNG|020|Kemiri|LOCAL|ROUND|72X50 GR|KG|Oaka|APR 2026|415|415|423|415|0.50|1,000.000
AD|DC PARUNG|021|Merica|LOCAL|ROUND|72X50 GR|KG|Oaka|APR 2026|56|56|64|16|0.30|1,000.000
AD|DC PARUNG|022|Lada|LOCAL|ROUND|72X50 GR|KG|Oaka|APR 2026|0|0|8|0|0.30|1,000.000
AD|DC PARUNG|023|Mie|LOCAL|ROUND|72X50 GR|KG|Oaka|APR 2026|0|145|153|0|0.80|3,800.000
AD|DC PARUNG|024|Beras|LOCAL|ROUND|72X50 GR|KG|Oaka|APR 2026|0|0|8|0|5.00|800.000
AD|DC PARUNG|025|Sirup|LOCAL|ROUND|72X50 GR|KG|Oaka|APR 2026|0|0|8|0|5.20|1,200.000
AE|DC LEBAK|026|Moka|IMPORT|RICE|72X50 GR|KG|Looked|APR 2026|1|1|9|1|0.50|1,200.000
AE|DC LEBAK|027|Minyak|IMPORT|RICE|72X50 GR|KG|Looked|APR 2026|0|0|8|0|5.00|2,200.000
AE|DC LEBAK|028|Sabun Colek|IMPORT|RICE|72X50 GR|KG|Looked|APR 2026|7|7|13|2|5.00|1,900.000
AE|DC LEBAK|029|Sabun Mandi|IMPORT|RICE|72X50 GR|KG|Looked|APR 2026|1|1|9|1|0.50|800.000
AE|DC LEBAK|030|Sampo|IMPORT|RICE|72X50 GR|KG|Looked|APR 2026|1|1|9|1|0.40|800.000
AE|DC LEBAK|031|Wijen|IMPORT|RICE|72X50 GR|KG|Looked|APR 2026|215|215|223|215|0.50|1,000.000
AE|DC LEBAK|032|Rimpang|IMPORT|RICE|72X50 GR|KG|Looked|APR 2026|0|0|8|0|5.00|1,000.000
AE|DC LEBAK|033|Dodol|IMPORT|WATER|72X50 GR|KG|Blue|APR 2026|24|24|32|24|0.80|2,600.000
AE|DC LEBAK|034|Uli|IMPORT|WATER|72X50 GR|KG|Blue|APR 2026|1|1|9|1|0.80|2,600.000
AE|DC LEBAK|035|Singkong|IMPORT|WATER|72X50 GR|KG|Blue|APR 2026|0|0|8|0|2.00|2,100.000
AE|DC LEBAK|037|Ubi|IMPORT|WATER|72X50 GR|KG|Blue|APR 2026|1|1|9|1|2.00|2,100.000
AE|DC LEBAK|038|Terong|IMPORT|WATER|72X50 GR|KG|Blue|APR 2026|1,398|1,398|1,406|1,398|5.20|2,500.000
AE|DC LEBAK|040|Kacang|IMPORT|WATER|72X50 GR|KG|Blue|APR 2026|0|0|8|0|5.00|2,100.000
AE|DC LEBAK|041|Toge|IMPORT|WATER|72X50 GR|KG|Blue|APR 2026|0|0|8|0|5.00|1,000.000
AE|DC LEBAK|042|Tomat|IMPORT|WATER|72X50 GR|KG|Blue|APR 2026|0|0|8|0|5.20|1,000.000
AE|DC LEBAK|044|Bombay|IMPORT|WATER|72X50 GR|KG|Blue|APR 2026|0|0|8|0|5.50|1,000.000
AE|DC LEBAK|001|Cabe|IMPORT|LIGHT|72X50 GR|KG|Cucumber|APR 2026|0|0|8|0|5.00|2,000.000
